date,name,law,url,source,retrieved_at,confidence
2009-04-21,Tiradentes,"Lei 662/1949 (redacao dada pela Lei 10.607/2002, em vigor desde 2002-12-19)",https://www.planalto.gov.br/ccivil_03/leis/l0662.htm,Lei 10.607/2002,2026-09-05,A
2009-05-01,Dia Mundial do Trabalho,Lei 662/1949,https://www.planalto.gov.br/ccivil_03/leis/l0662.htm,Lei 662/1949,2026-09-05,A
2009-09-07,Independencia do Brasil,Lei 662/1949,https://www.planalto.gov.br/ccivil_03/leis/l0662.htm,Lei 662/1949,2026-09-05,A
2009-11-02,Finados,"Lei 662/1949 (redacao dada pela Lei 10.607/2002, em vigor desde 2002-12-19)",https://www.planalto.gov.br/ccivil_03/leis/l0662.htm,Lei 10.607/2002,2026-09-05,A
2009-11-15,Proclamacao da Republica,Lei 662/1949,https://www.planalto.gov.br/ccivil_03/leis/l0662.htm,Lei 662/1949,2026-09-05,A
2009-12-25,Natal,Lei 662/1949,https://www.planalto.gov.br/ccivil_03/leis/l0662.htm,Lei 662/1949,2026-09-05,A
2010-01-01,Confraternizacao Universal (Ano Novo),Lei 662/1949,https://www.planalto.gov.br/ccivil_03/leis/l0662.htm,Lei 662/1949,2026-09-05,A
2010-04-21,Tiradentes,"Lei 662/1949 (redacao dada pela Lei 10.607/2002, em vigor desde 2002-12-19)",https://www.planalto.gov.br/ccivil_03/leis/l0662.htm,Lei 10.607/2002,2026-09-05,A
2010-05-01,Dia Mundial do Trabalho,Lei 662/1949,https://www.planalto.gov.br/ccivil_03/leis/l0662.htm,Lei 662/1949,2026-09-05,A
2010-09-07,Independencia do Brasil,Lei 662/1949,https://www.planalto.gov.br/ccivil_03/leis/l0662.htm,Lei 662/1949,2026-09-05,A
2010-11-02,Finados,"Lei 662/1949 (redacao dada pela Lei 10.607/2002, em vigor desde 2002-12-19)",https://www.planalto.gov.br/ccivil_03/leis/l0662.htm,Lei 10.607/2002,2026-09-05,A
2010-11-15,Proclamacao da Republica,Lei 662/1949,https://www.planalto.gov.br/ccivil_03/leis/l0662.htm,Lei 662/1949,2026-09-05,A
2010-12-25,Natal,Lei 662/1949,https://www.planalto.gov.br/ccivil_03/leis/l0662.htm,Lei 662/1949,2026-09-05,A
2011-01-01,Confraternizacao Universal (Ano Novo),Lei 662/1949,https://www.planalto.gov.br/ccivil_03/leis/l0662.htm,Lei 662/1949,2026-09-05,A
2011-04-21,Tiradentes,"Lei 662/1949 (redacao dada pela Lei 10.607/2002, em vigor desde 2002-12-19)",https://www.planalto.gov.br/ccivil_03/leis/l0662.htm,Lei 10.607/2002,2026-09-05,A
2011-05-01,Dia Mundial do Trabalho,Lei 662/1949,https://www.planalto.gov.br/ccivil_03/leis/l0662.htm,Lei 662/1949,2026-09-05,A
2011-09-07,Independencia do Brasil,Lei 662/1949,https://www.planalto.gov.br/ccivil_03/leis/l0662.htm,Lei 662/1949,2026-09-05,A
2011-11-02,Finados,"Lei 662/1949 (redacao dada pela Lei 10.607/2002, em vigor desde 2002-12-19)",https://www.planalto.gov.br/ccivil_03/leis/l0662.htm,Lei 10.607/2002,2026-09-05,A
2011-11-15,Proclamacao da Republica,Lei 662/1949,https://www.planalto.gov.br/ccivil_03/leis/l0662.htm,Lei 662/1949,2026-09-05,A
2011-12-25,Natal,Lei 662/1949,https://www.planalto.gov.br/ccivil_03/leis/l0662.htm,Lei 662/1949,2026-09-05,A
2012-01-01,Confraternizacao Universal (Ano Novo),Lei 662/1949,https://www.planalto.gov.br/ccivil_03/leis/l0662.htm,Lei 662/1949,2026-09-05,A
2012-04-21,Tiradentes,"Lei 662/1949 (redacao dada pela Lei 10.607/2002, em vigor desde 2002-12-19)",https://www.planalto.gov.br/ccivil_03/leis/l0662.htm,Lei 10.607/2002,2026-09-05,A
2012-05-01,Dia Mundial do Trabalho,Lei 662/1949,https://www.planalto.gov.br/ccivil_03/leis/l0662.htm,Lei 662/1949,2026-09-05,A
2012-09-07,Independencia do Brasil,Lei 662/1949,https://www.planalto.gov.br/ccivil_03/leis/l0662.htm,Lei 662/1949,2026-09-05,A
2012-11-02,Finados,"Lei 662/1949 (redacao dada pela Lei 10.607/2002, em vigor desde 2002-12-19)",https://www.planalto.gov.br/ccivil_03/leis/l0662.htm,Lei 10.607/2002,2026-09-05,A
2012-11-15,Proclamacao da Republica,Lei 662/1949,https://www.planalto.gov.br/ccivil_03/leis/l0662.htm,Lei 662/1949,2026-09-05,A
2012-12-25,Natal,Lei 662/1949,https://www.planalto.gov.br/ccivil_03/leis/l0662.htm,Lei 662/1949,2026-09-05,A
2013-01-01,Confraternizacao Universal (Ano Novo),Lei 662/1949,https://www.planalto.gov.br/ccivil_03/leis/l0662.htm,Lei 662/1949,2026-09-05,A
2013-04-21,Tiradentes,"Lei 662/1949 (redacao dada pela Lei 10.607/2002, em vigor desde 2002-12-19)",https://www.planalto.gov.br/ccivil_03/leis/l0662.htm,Lei 10.607/2002,2026-09-05,A
2013-05-01,Dia Mundial do Trabalho,Lei 662/1949,https://www.planalto.gov.br/ccivil_03/leis/l0662.htm,Lei 662/1949,2026-09-05,A
2013-09-07,Independencia do Brasil,Lei 662/1949,https://www.planalto.gov.br/ccivil_03/leis/l0662.htm,Lei 662/1949,2026-09-05,A
2013-11-02,Finados,"Lei 662/1949 (redacao dada pela Lei 10.607/2002, em vigor desde 2002-12-19)",https://www.planalto.gov.br/ccivil_03/leis/l0662.htm,Lei 10.607/2002,2026-09-05,A
2013-11-15,Proclamacao da Republica,Lei 662/1949,https://www.planalto.gov.br/ccivil_03/leis/l0662.htm,Lei 662/1949,2026-09-05,A
2013-12-25,Natal,Lei 662/1949,https://www.planalto.gov.br/ccivil_03/leis/l0662.htm,Lei 662/1949,2026-09-05,A
