code,description_pt,source,url,retrieved_at,confidence
I,Internacional,IAC 1504,https://pergamum.anac.gov.br/pergamum/vinculos/IAC1504.pdf,2026-09-05,A
N,Nacional,IAC 1504,https://pergamum.anac.gov.br/pergamum/vinculos/IAC1504.pdf,2026-09-05,A
R,Regional,IAC 1504,https://pergamum.anac.gov.br/pergamum/vinculos/IAC1504.pdf,2026-09-05,A
E,Especial,IAC 1504,https://pergamum.anac.gov.br/pergamum/vinculos/IAC1504.pdf,2026-09-05,A
L,Rede Postal,IAC 1504,https://pergamum.anac.gov.br/pergamum/vinculos/IAC1504.pdf,2026-09-05,A
H,Sub-Regional,IAC 1504,https://pergamum.anac.gov.br/pergamum/vinculos/IAC1504.pdf,2026-09-05,A
C,Cargueiro Domestico,IAC 1504,https://pergamum.anac.gov.br/pergamum/vinculos/IAC1504.pdf,2026-09-05,A
G,Cargueiro Internacional,IAC 1504,https://pergamum.anac.gov.br/pergamum/vinculos/IAC1504.pdf,2026-09-05,A
